regiao,estado,latitude,longitude,dataColeta,valorVenda
S,RS,-30.89239019999997,-55.5199632,09/06/2020,4.29
S,PR,-24.72993989999997,-53.6946482,15/06/2021,5.62
SE,MG,-19.7422019,-47.9589345,15/09/2021,6.399
SE,SP,-22.73801619999998,-47.63660309999999,12/04/2022,6.99
S,SC,-26.91256239999998,-49.0584385,05/01/2022,6.32
NE,BA,-12.15784839999997,-38.86012019999999,25/01/2022,6.91
SE,SP,-21.76794639999997,-48.164426,29/03/2022,6.77
SE,SP,-22.70487919999998,-46.7683069,27/01/2020,4.43
SE,MG,-19.91153589999998,-43.9248841,22/06/2022,7.57
SE,SP,-22.292555,-46.90666299999999,02/06/2022,6.89
S,PR,-26.2208693,-52.6952751,28/01/2020,4.44
S,RS,-28.23592809999997,-52.4228895,07/06/2022,6.79
SE,SP,-23.19242719999997,-46.8789609,19/01/2022,6.19
S,RS,-28.24636829999998,-52.38658710000001,04/08/2020,4.269
SE,MG,-18.91617469999997,-48.2688814,31/01/2022,6.57
CO,GO,-16.74107749999997,-49.2319894,26/08/2021,6.34
S,SC,-26.12365219999997,-49.8055077,10/08/2020,4.09
SE,RJ,-22.8094366,-43.0367564,09/11/2020,4.899
S,RS,-27.88085109999998,-54.47665989999999,08/01/2020,4.699
S,PR,-23.38549749999997,-51.1336999,21/07/2021,5.799
S,RS,-30.06875879999998,-51.1827382,06/09/2021,6.36
N,TO,-7.206585299999975,-48.2308582,01/02/2022,6.93
SE,SP,-22.3294667,-46.9440864,18/03/2020,4.399
SE,SP,-23.23090419999997,-47.7908391,21/09/2021,5.799
S,PR,-24.71310089999998,-53.74187010000001,24/03/2021,5.49
NE,PE,-8.116863099999975,-35.29699970000001,12/05/2020,3.69
SE,RJ,-22.7093431,-42.6259789,20/05/2020,4.399
SE,RJ,-21.19792979999998,-41.8972682,10/03/2022,7.29
SE,SP,-21.13065369999998,-48.97028169999999,25/04/2022,6.99
SE,SP,-23.0173374,-46.9825194,13/07/2020,3.899
S,PR,-23.3956334,-51.9179715,29/07/2021,5.75
SE,SP,-23.64853769999998,-46.8224119,26/01/2022,6.49
S,SC,-27.62410909999997,-48.6532006,03/08/2021,5.898
SE,SP,-23.71166979999998,-46.5488853,04/05/2022,7.09
SE,MG,-22.2414411,-45.9527168,08/07/2020,4.148
SE,SP,-21.99744599999998,-47.91427899999999,04/08/2020,4.029
NE,BA,-12.25599369999998,-38.9713344,05/02/2020,4.52
S,SC,-27.60755099999997,-48.54765279999999,01/03/2022,6.39
S,PR,-23.41986649999997,-51.91169619999999,29/09/2021,6.03
S,PR,-23.5372673,-51.4152108,13/01/2020,4.45
N,RO,-8.761741599999972,-63.8700601,20/07/2020,3.849
SE,RJ,-22.41424859999998,-42.9706731,05/08/2021,6.295
NE,CE,-3.767487299999975,-38.5502909,04/08/2020,4.19
SE,SP,-23.70497369999998,-46.5418458,17/01/2022,6.29
N,RO,-12.7308022,-60.1125661,13/10/2021,6.449
NE,PE,-8.0294188,-34.925551,22/12/2021,6.698
SE,ES,-19.8228386,-40.0607269,15/07/2020,4.18
SE,MG,-21.77919509999997,-43.3573904,07/04/2021,5.739
SE,SP,-22.84203749999998,-46.81486689999999,07/06/2021,5.199
S,RS,-29.17386539999997,-51.1702106,21/06/2022,7.15
SE,SP,-23.53687039999997,-46.5582235,24/02/2020,4.299
SE,MG,-18.93141729999997,-48.2851809,04/08/2020,4.499
CO,MS,-20.52528629999997,-54.59924319999999,19/08/2021,5.899
NE,BA,-12.25051809999997,-38.9322399,27/04/2021,5.399
NE,BA,-7.257532400000001,-38.4008357,01/03/2022,6.89
SE,MG,-19.87755299999997,-43.9289103,24/05/2022,7.39
SE,ES,-20.33104879999998,-40.3587098,03/02/2022,6.77
SE,SP,-22.5826678,-44.9613012,10/05/2021,5.46
S,SC,-27.58899219999998,-48.5768314,08/09/2021,5.999
NE,CE,-3.75213,-38.5262,22/03/2022,7.59
SE,SP,-23.6564289,-46.55773920000001,24/08/2021,5.799
CO,MT,-9.871516799999975,-56.0753697,25/11/2021,7.35
SE,MG,-19.80796399999997,-43.1634019,07/03/2022,6.88
S,PR,-25.39073359999997,-49.2237899,17/03/2020,4.099
S,SC,-27.8265124,-50.3268034,29/06/2021,5.544
N,RO,-11.68400099999998,-61.16536149999999,19/07/2021,6.31
SE,SP,-22.3566529,-49.04411229999999,28/04/2022,6.99
