regiao,latitude,longitude,dataColeta,valorVenda,diesel,dieselS10,etanol,gasolina,gasolinaAditivada,gnv
NE,-7.125212199999975,-34.9184435,21/12/2021,5.299,0,1,0,0,0,0
CO,-16.1008271,-47.9681077,05/10/2021,5.199,0,0,1,0,0,0
SE,-22.57151619999997,-44.9555704,17/05/2021,4.41,0,0,1,0,0,0
SE,-21.0413142,-49.6911374,05/07/2021,5.399,0,0,0,1,0,0
SE,-24.00336779999997,-46.4199193,01/06/2021,3.899,0,0,1,0,0,0
NE,-8.0964972,-35.0204278,21/12/2021,6.79,0,0,0,0,1,0
SE,-23.49522069999997,-46.4006426,31/03/2021,4.297,0,1,0,0,0,0
NE,-5.080566799999975,-42.7952748,19/07/2021,6.299,0,0,0,1,0,0
SE,-19.44697909999998,-42.5541237,30/11/2021,5.294,1,0,0,0,0,0
S,-29.93492619999997,-51.0442094,13/07/2021,4.269,1,0,0,0,0,0
S,-25.49899169999998,-49.16560399999999,24/08/2021,4.299,0,1,0,0,0,0
SE,-22.3148397,-49.0545652,08/02/2021,2.95,0,0,1,0,0,0
NE,-7.219069399999974,-39.3121197,13/04/2021,4.67,0,0,1,0,0,0
SE,-23.48316329999997,-46.68609290000001,21/04/2021,5.499,0,0,0,0,1,0
CO,-11.86434049999997,-55.5000323,07/12/2021,5.949,0,1,0,0,0,0
SE,-22.89661869999997,-43.12131,11/11/2021,3.999,0,0,0,0,0,1
SE,-16.749418,-43.827381,03/01/2021,3.65,1,0,0,0,0,0
NE,-4.968512399999975,-39.011064,08/06/2021,4.639,0,1,0,0,0,0
NE,-3.8189881,-38.6269018,05/08/2021,5.959,0,0,0,0,1,0
SE,-22.7916806,-43.3040043,17/02/2021,3.899,0,1,0,0,0,0
N,-8.7642317,-63.9011215,14/06/2021,4.55,0,1,0,0,0,0
N,-1.405635399999974,-48.43593019999999,19/10/2021,6.25,0,0,0,1,0,0
S,-31.73932879999997,-52.3291334,31/05/2021,6.199,0,0,0,0,1,0
S,-29.934937,-51.01419199999999,20/07/2021,4.299,1,0,0,0,0,0
SE,-20.1080291,-44.9167237,25/08/2021,6.299,0,0,0,1,0,0
SE,-23.091493,-48.8963571,04/11/2021,6.499,0,0,0,1,0,0
NE,-8.063543399999977,-34.90663129999999,25/02/2021,4.879,0,0,0,1,0,0
S,-23.6719871,-52.6172766,22/07/2021,4.19,0,1,0,0,0,0
SE,-22.8394943,-43.0122641,15/11/2021,7.259,0,0,0,1,0,0
CO,-15.8615056,-48.0862331,07/09/2021,6.499,0,0,0,0,1,0
S,-26.12365219999997,-49.8055077,30/08/2021,5.439,0,0,0,1,0,0
CO,-20.49018249999997,-54.59746869999999,03/08/2021,4.399,0,0,1,0,0,0
NE,-5.211852399999975,-37.3320171,02/08/2021,6.34,0,0,0,0,1,0
CO,-15.63908599999997,-56.1218526,12/05/2021,5.777,0,0,0,0,1,0
S,-27.558331,-48.618216,14/09/2021,5.399,0,0,1,0,0,0
SE,-23.72304119999997,-46.55112829999999,12/01/2021,3.799,0,1,0,0,0,0
S,-26.85765669999997,-49.15477659999999,04/08/2021,4.279,0,1,0,0,0,0
CO,-9.897136099999999,-56.0940455,08/09/2021,5.43,1,0,0,0,0,0
SE,-17.85712739999997,-41.5078087,26/07/2021,4.948,0,1,0,0,0,0
SE,-22.92340149999998,-43.2530256,28/09/2021,6.799,0,0,0,1,0,0
NE,-5.827312299999974,-35.2214093,01/09/2021,6.099,0,0,0,1,0,0
NE,-10.90323789999997,-37.0613658,25/07/2021,6.089,0,0,0,0,1,0
CO,-18.4195163,-49.214477,04/10/2021,4.86,0,0,1,0,0,0
CO,-15.8641993,-48.0827349,02/06/2021,5.959,0,0,0,0,1,0
N,-3.084691099999975,-60.0593513,15/11/2021,5.39,0,0,1,0,0,0
NE,-8.010748099999974,-34.8718478,06/10/2021,4.899,0,1,0,0,0,0
SE,-22.51022909999998,-43.2022588,22/03/2021,5.099,0,0,1,0,0,0
SE,-22.88088619999998,-42.024489,27/07/2021,4.889,0,1,0,0,0,0
N,-11.43183369999997,-61.45471819999999,17/05/2021,6.09,0,0,0,0,1,0
SE,-22.36977239999997,-41.77564840000001,23/06/2021,5.799,0,0,1,0,0,0
SE,-22.79276899999997,-43.2918676,08/11/2021,5.399,0,1,0,0,0,0
S,-25.37636419999997,-49.18336009999999,05/04/2021,5.099,0,0,0,1,0,0
SE,-21.68208289999997,-51.07204,08/09/2021,4.94,0,1,0,0,0,0
N,0.03227950000002544,-51.0510275,21/07/2021,4.56,1,0,0,0,0,0
SE,-22.53293609999997,-44.18800470000001,26/08/2021,6.649,0,0,0,1,0,0
SE,-23.59716869999998,-46.7587583,28/12/2021,6.349,0,0,0,0,1,0
CO,-16.44749349999998,-54.63702719999999,20/06/2021,5.599,0,0,0,0,1,0
SE,-21.2264961,-50.4608621,21/09/2021,4.299,0,0,1,0,0,0
CO,-20.4586981,-54.6165242,11/05/2021,5.477,0,0,0,1,0,0
SE,-21.73396219999997,-43.3960912,02/06/2021,4.699,0,0,1,0,0,0
SE,-20.24823999999997,-42.0249314,06/06/2021,4.647,0,0,1,0,0,0
S,-28.48786039999997,-49.0161344,01/03/2021,5.255,0,0,0,1,0,0
SE,-22.21938359999997,-49.9484071,27/10/2021,6.299,0,0,0,0,1,0
S,-26.60915189999998,-48.5708731,13/07/2021,5.599,0,0,0,0,1,0
SE,-20.42016479999998,-49.9759065,03/08/2021,5.999,0,0,0,0,1,0
SE,-22.97975129999997,-49.85523209999999,18/08/2021,4.499,1,0,0,0,0,0
S,-28.4631398,-51.5559362,14/04/2021,5.997,0,0,0,0,1,0
CO,-16.0664436,-57.67791059999999,09/12/2021,5.69,0,1,0,0,0,0
S,-29.73285559999997,-51.1496308,19/08/2021,6.095,0,0,0,0,1,0
CO,-15.5689238,-56.027829,08/11/2021,5.177,0,0,1,0,0,0
SE,-22.32524249999997,-49.08191559999999,10/08/2021,4.69,0,1,0,0,0,0
S,-29.95415079999998,-51.1044458,27/07/2021,4.199,1,0,0,0,0,0
CO,-15.63098129999997,-56.0470312,09/12/2021,4.999,0,0,1,0,0,0
SE,-21.21139329999997,-41.8626836,13/10/2021,4.899,1,0,0,0,0,0
SE,-20.34135859999997,-40.35050500000001,04/07/2021,5.899,0,0,0,0,1,0
CO,-16.45349619999998,-54.6237574,30/03/2021,5.286,0,0,0,1,0,0
SE,-21.29028109999997,-50.3370045,07/10/2021,4.629,0,0,1,0,0,0
NE,-9.626594899999974,-35.7407519,19/04/2021,4.479,1,0,0,0,0,0
SE,-22.3272123,-49.0425741,27/10/2021,5.32,0,1,0,0,0,0
SE,-22.76002679999997,-43.4586275,11/10/2021,6.868,0,0,0,1,0,0
